Fecha_Inicio,Fecha_Fin,Comunidad,Variacion
12010,22010,Nacional,"-0,2"
12010,22010,Andalucía,"-0,1"
12010,22010,Aragón,"-0,1"
12010,22010,"Asturias, Principado de","-0,2"
12010,22010,"Balears, Illes","-0,2"
12010,22010,Canarias,"-0,2"
12010,22010,Cantabria,"-0,4"
12010,22010,Castilla y León,"-0,2"
12010,22010,Castilla-La Mancha,"-0,3"
12010,22010,Cataluña,"-0,2"
12010,22010,Comunitat Valenciana,"-0,2"
12010,22010,Extremadura,"-0,1"
12010,22010,Galicia,"-0,3"
12010,22010,"Madrid, Comunidad de","-0,1"
12010,22010,"Murcia, Región de","-0,1"
12010,22010,"Navarra, Comunidad Foral de","-0,3"
12010,22010,País Vasco,"-0,3"
12010,22010,"Rioja, La","-0,1"
12010,22010,Ceuta,"-0,1"
12010,22010,Melilla,"-0,2"
22010,32010,Nacional,"0,7"
22010,32010,Andalucía,"0,8"
22010,32010,Aragón,"0,7"
22010,32010,"Asturias, Principado de","0,7"
22010,32010,"Balears, Illes","0,7"
22010,32010,Canarias,"0,7"
22010,32010,Cantabria,"0,6"
22010,32010,Castilla y León,"0,8"
22010,32010,Castilla-La Mancha,"0,8"
22010,32010,Cataluña,"0,7"
22010,32010,Comunitat Valenciana,"0,6"
22010,32010,Extremadura,"0,7"
22010,32010,Galicia,"0,9"
22010,32010,"Madrid, Comunidad de","0,7"
22010,32010,"Murcia, Región de","0,7"
22010,32010,"Navarra, Comunidad Foral de","0,9"
22010,32010,País Vasco,"0,8"
22010,32010,"Rioja, La","0,5"
22010,32010,Ceuta,"1,2"
22010,32010,Melilla,"1,6"
32010,42010,Nacional,"1,1"
32010,42010,Andalucía,"1,2"
32010,42010,Aragón,"1,0"
32010,42010,"Asturias, Principado de","1,2"
32010,42010,"Balears, Illes","0,6"
32010,42010,Canarias,"0,9"
32010,42010,Cantabria,"0,9"
32010,42010,Castilla y León,"1,0"
32010,42010,Castilla-La Mancha,"1,1"
32010,42010,Cataluña,"1,0"
32010,42010,Comunitat Valenciana,"1,2"
32010,42010,Extremadura,"1,4"
32010,42010,Galicia,"1,2"
32010,42010,"Madrid, Comunidad de","0,8"
32010,42010,"Murcia, Región de","1,4"
32010,42010,"Navarra, Comunidad Foral de","1,0"
32010,42010,País Vasco,"1,1"
32010,42010,"Rioja, La","1,8"
32010,42010,Ceuta,"1,2"
32010,42010,Melilla,"1,1"
42010,52010,Nacional,"0,2"
42010,52010,Andalucía,"0,2"
42010,52010,Aragón,"0,2"
42010,52010,"Asturias, Principado de","0,4"
42010,52010,"Balears, Illes","0,4"
42010,52010,Canarias,"0,2"
42010,52010,Cantabria,"0,3"
42010,52010,Castilla y León,"0,3"
42010,52010,Castilla-La Mancha,"0,3"
42010,52010,Cataluña,"0,3"
42010,52010,Comunitat Valenciana,"0,2"
42010,52010,Extremadura,"0,0"
42010,52010,Galicia,"0,3"
42010,52010,"Madrid, Comunidad de","0,1"
42010,52010,"Murcia, Región de","0,1"
42010,52010,"Navarra, Comunidad Foral de","0,6"
42010,52010,País Vasco,"0,2"
42010,52010,"Rioja, La","0,3"
42010,52010,Ceuta,"0,1"
42010,52010,Melilla,"0,3"
52010,62010,Nacional,"0,2"
52010,62010,Andalucía,"0,2"
52010,62010,Aragón,"0,1"
52010,62010,"Asturias, Principado de","0,2"
52010,62010,"Balears, Illes","0,2"
52010,62010,Canarias,"0,0"
52010,62010,Cantabria,"0,2"
52010,62010,Castilla y León,"0,1"
52010,62010,Castilla-La Mancha,"0,2"
52010,62010,Cataluña,"0,2"
52010,62010,Comunitat Valenciana,"0,2"
52010,62010,Extremadura,"0,2"
52010,62010,Galicia,"0,2"
52010,62010,"Madrid, Comunidad de","0,2"
52010,62010,"Murcia, Región de","0,2"
52010,62010,"Navarra, Comunidad Foral de","0,2"
52010,62010,País Vasco,"0,2"
52010,62010,"Rioja, La","0,3"
52010,62010,Ceuta,"0,1"
52010,62010,Melilla,"0,0"
62010,72010,Nacional,"-0,4"
62010,72010,Andalucía,"-0,6"
62010,72010,Aragón,"-0,5"
62010,72010,"Asturias, Principado de","-0,7"
62010,72010,"Balears, Illes","0,2"
62010,72010,Canarias,"-0,5"
62010,72010,Cantabria,"-0,1"
62010,72010,Castilla y León,"-0,4"
62010,72010,Castilla-La Mancha,"-0,7"
62010,72010,Cataluña,"-0,3"
62010,72010,Comunitat Valenciana,"-0,5"
62010,72010,Extremadura,"-0,7"
62010,72010,Galicia,"-0,7"
62010,72010,"Madrid, Comunidad de","-0,2"
62010,72010,"Murcia, Región de","-0,8"
62010,72010,"Navarra, Comunidad Foral de","-0,3"
62010,72010,País Vasco,"-0,4"
62010,72010,"Rioja, La","-1,0"
62010,72010,Ceuta,"-1,6"
62010,72010,Melilla,"-1,4"
72010,82010,Nacional,"0,3"
72010,82010,Andalucía,"0,3"
72010,82010,Aragón,"0,2"
72010,82010,"Asturias, Principado de","0,3"
72010,82010,"Balears, Illes","0,1"
72010,82010,Canarias,"0,0"
72010,82010,Cantabria,"0,3"
72010,82010,Castilla y León,"0,3"
72010,82010,Castilla-La Mancha,"0,2"
72010,82010,Cataluña,"0,3"
72010,82010,Comunitat Valenciana,"0,3"
72010,82010,Extremadura,"0,2"
72010,82010,Galicia,"0,2"
72010,82010,"Madrid, Comunidad de","0,3"
72010,82010,"Murcia, Región de","0,2"
72010,82010,"Navarra, Comunidad Foral de","0,0"
72010,82010,País Vasco,"0,3"
72010,82010,"Rioja, La","0,2"
72010,82010,Ceuta,"0,2"
72010,82010,Melilla,"0,1"
82010,92010,Nacional,"0,1"
82010,92010,Andalucía,"0,2"
82010,92010,Aragón,"0,1"
82010,92010,"Asturias, Principado de","0,0"
82010,92010,"Balears, Illes","-0,3"
82010,92010,Canarias,"0,0"
82010,92010,Cantabria,"0,0"
82010,92010,Castilla y León,"0,2"
82010,92010,Castilla-La Mancha,"0,2"
82010,92010,Cataluña,"0,0"
82010,92010,Comunitat Valenciana,"-0,1"
82010,92010,Extremadura,"0,2"
82010,92010,Galicia,"0,2"
82010,92010,"Madrid, Comunidad de","0,0"
82010,92010,"Murcia, Región de","0,0"
82010,92010,"Navarra, Comunidad Foral de","0,0"
82010,92010,País Vasco,"0,2"
82010,92010,"Rioja, La","-0,1"
82010,92010,Ceuta,"0,4"
82010,92010,Melilla,"0,8"
92010,102010,Nacional,"0,9"
92010,102010,Andalucía,"1,0"
92010,102010,Aragón,"1,2"
92010,102010,"Asturias, Principado de","1,1"
92010,102010,"Balears, Illes","0,2"
92010,102010,Canarias,"0,6"
92010,102010,Cantabria,"0,9"
92010,102010,Castilla y León,"1,0"
92010,102010,Castilla-La Mancha,"1,2"
92010,102010,Cataluña,"0,8"
92010,102010,Comunitat Valenciana,"1,0"
92010,102010,Extremadura,"1,3"
92010,102010,Galicia,"1,3"
92010,102010,"Madrid, Comunidad de","0,7"
92010,102010,"Murcia, Región de","1,2"
92010,102010,"Navarra, Comunidad Foral de","0,5"
92010,102010,País Vasco,"1,1"
92010,102010,"Rioja, La","1,3"
92010,102010,Ceuta,"0,9"
92010,102010,Melilla,"1,1"
102010,112010,Nacional,"0,5"
102010,112010,Andalucía,"0,6"
102010,112010,Aragón,"0,4"
102010,112010,"Asturias, Principado de","1,1"
102010,112010,"Balears, Illes","0,7"
102010,112010,Canarias,"0,5"
102010,112010,Cantabria,"0,8"
102010,112010,Castilla y León,"0,5"
102010,112010,Castilla-La Mancha,"0,6"
102010,112010,Cataluña,"0,5"
102010,112010,Comunitat Valenciana,"0,5"
102010,112010,Extremadura,"0,3"
102010,112010,Galicia,"0,6"
102010,112010,"Madrid, Comunidad de","0,5"
102010,112010,"Murcia, Región de","0,7"
